what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351610449968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351610450136
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351610451686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610455034
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1351610455888
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351610455952
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1351610455966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610456041
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1351610456046
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1351610456046
started,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1351610457843
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351610457978
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1351610458033
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1351610458086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610459751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610516033
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351610554658
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351610554711
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1351610558618
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1351610559859
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1351610559865
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351610562550
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610562833
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610622432
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1351610625879
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1351610632199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610632327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610652473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610652539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610654501
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1351610663242
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1351610663243
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351610665425
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1351610665713
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1351610665725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610714356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351610715671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351611439984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351615748357
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1351615748379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351615748673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351615750896
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351615751988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351615754431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351615921552
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351615921576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351616534943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351617463302
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351617465430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351617468087
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351617468239
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1351617468514
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1351617468514
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1351617468514
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1351617468514
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1351617468516
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1351617468517
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1351617468517
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1351617468519
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1351617468520
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1351617468520
stopped,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1351617468520
stopped,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1351617468520
